school_code,full_school_name,school_name,lvl,School Address,school_address,am_earliest_arr,am_latest_arr,AM Bus Departure,PM Bus Arrival,pm_earliest_dep,pm_latest_dep,home_lat,home_lon
370.0,370 - MARY E. NICHOLSON,MARY E. NICHOLSON,,510 E 46TH ST,"510 E 46TH ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8399466,-86.149498
384.0,384 - CENTER FOR INQUIRY 84,CENTER FOR INQUIRY 84,,440 E 57TH ST,"440 E 57TH ST, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8574434,-86.15091110000002
391.0,391 - ROUSSEAU MCCLELLAN,ROUSSEAU MCCLELLAN,,5111 EVANSTON AVE,"5111 EVANSTON AVE, Indianapolis, IN",9:00 AM,9:20 AM,9:10 AM,3:50 PM,3:55 PM,4:05 PM,39.8457947,-86.12627239999999
498.0,"982 - NEW HORIZON, OCI, L. WOOD ,PS",POSITIVE SUPPORTS ACADEMY,HS,3200 E RAYMOND ST,"3200 East Raymond Street, Indianapolis, IN 46203",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.7386706,-86.11036469999999
501.0,501 - H.L HARSHMAN MIDDLE SCHOOL,H.L HARSHMAN MIDDLE SCHOOL,,1501 E 10TH ST,"1501 E 10TH ST, Indianapolis, IN",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.7802469,-86.1326404
510.0,510 - KIPP INDY MS,KIPP INDY MS,,1740 E 30TH ST,"1740 E 30TH ST, Indianapolis, IN",8:00 AM,8:20 AM,8:15 AM,4:15 PM,4:20 PM,4:35 PM,39.8118597,-86.12906100000001
522.0,522 - ARLINGTON MIDDLE SCHOOL,ARLINGTON MIDDLE SCHOOL,MS,4825 N ARLINGTON AVE,"4825 N ARLINGTON AVE, Indianapolis, IN",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.8435354,-86.0633154
523.0,523 - NORTHWEST MIDDLE SCHOOL/NEWCOMER,NORTHWEST MIDDLE SCHOOL/NEWCOMER,MS,110 NW TRANSP ACC,"5525 W 34th St, Indianapolis, IN 46224",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.8148482,-86.2575889
528.0,528 - HENRY W. LONGFELLOW,HENRY W. LONGFELLOW,,510 LAUREL ST,"510 LAUREL ST, Indianapolis, IN",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.759198,-86.137648
572.0,572 - EMMA DONNAN MIDDLE SCHOOL,EMMA DONNAN MIDDLE SCHOOL,MS,1202 E TROY AVE,"1202 E TROY AVE, Indianapolis, IN",7:00 AM,7:20 AM,7:15 AM,2:05 PM,2:10 PM,2:25 PM,39.7236946,-86.1363786
710.0,710- KIPP HIGH SCHOOL,KIPP HIGH SCHOOL,HS,2255 RALSTON AVE,"2255 Ralston Avenue,  Indianapolis, IN 46218",8:00 AM,8:20 AM,8:15 AM,4:15 PM,4:20 PM,4:35 PM,39.7991929,-86.13092189999999
